Año,Delito,id_barrio,Barrio,Total delitos,Ratio
2013,VIOLENCIA DOMÉSTICA,999,SIN CLASIFICAR,6,
2013,VIOLENCIA DOMÉSTICA,50,TRES CRUCES,62,365.2645222104395
2013,VIOLENCIA DOMÉSTICA,56,"TRES OMBUES, VICTORIA",262,1453.5367545076283
2013,VIOLENCIA DOMÉSTICA,23,UNION,366,958.6924064227153
2013,VIOLENCIA DOMÉSTICA,24,VILLA ESPAÑOLA,208,982.3368281855106
2013,VIOLENCIA DOMÉSTICA,61,"VILLA GARCIA, MANGA RURAL",354,1115.3470493714358
2013,VIOLENCIA DOMÉSTICA,48,"VILLA MUÑOZ, RETIRO",72,539.8920215956808
2014,ABIGEATO,59,COLON CENTRO Y NOROESTE,1,3.65644082050532
2014,ABIGEATO,58,"COLON SURESTE, ABAYUBA",1,6.840881105486386
2014,ABIGEATO,37,"LA PALOMA, TOMKINSON",1,2.571288987169268
2014,ABIGEATO,60,"LEZICA, MELILLA",1,5.800464037122969
2014,ABIGEATO,32,"MANGA, TOLEDO CHICO",5,18.356707540935457
2014,ABIGEATO,57,PASO DE LA ARENA,1,3.7650602409638556
2014,ABIGEATO,52,SAYAGO,1,7.138268256121065
2014,ABIGEATO,61,"VILLA GARCIA, MANGA RURAL",1,3.1506978795803273
2014,HURTO,41,AGUADA,793,4090.1588611512275
2014,HURTO,29,AIRES PUROS,434,2907.6778775291436
2014,HURTO,43,ATAHUALPA,401,5006.867274316394
2014,HURTO,3,BARRIO SUR,431,3033.0752990851515
2014,HURTO,16,BAÑADOS DE CARRASCO,288,2031.0296191819466
2014,HURTO,54,BELVEDERE,779,3801.8545632015616
2014,HURTO,51,BRAZO ORIENTAL,767,4679.111761835041
2014,HURTO,9,BUCEO,1791,4842.110954904293
2014,HURTO,40,"CAPURRO, BELLA VISTA",578,3474.3928829045444
2014,HURTO,14,CARRASCO,1000,6638.343069569835
2014,HURTO,15,CARRASCO NORTE,402,3031.9028584357798
2014,HURTO,36,"CASABO, PAJAS BLANCAS",465,1557.632398753894
2014,HURTO,30,CASAVALLE,598,1967.1052631578946
2014,HURTO,26,"CASTRO, P. CASTELLANOS",364,2698.695136417556
2014,HURTO,2,CENTRO,1829,7696.515738091231
2014,HURTO,27,CERRITO,646,4035.7343662147814
2014,HURTO,35,CERRO,1009,3706.697035377098
2014,HURTO,1,CIUDAD VIEJA,783,5654.246100519931
2014,HURTO,59,COLON CENTRO Y NOROESTE,1244,4548.612380708618
2014,HURTO,58,"COLON SURESTE, ABAYUBA",349,2387.4675058147486
2014,HURTO,53,CONCILIACION,474,2385.625849313
2014,HURTO,4,CORDON,2312,5139.605192957496
2014,HURTO,18,FLOR DE MAROÑAS,643,3742.070651225048
2014,HURTO,22,ITUZAINGO,729,5715.405723245786
2014,HURTO,44,JACINTO VERA,395,4727.707959305804
2014,HURTO,21,JARDINES DEL HIPODROMO,473,2432.0016453288085
2014,HURTO,47,LA BLANQUEADA,706,7232.865485093741
2014,HURTO,49,LA COMERCIAL,454,4012.727594131165
2014,HURTO,45,LA FIGURITA,356,3499.115392176135
2014,HURTO,37,"LA PALOMA, TOMKINSON",732,1882.1835386079042
2014,HURTO,38,LA TEJA,563,3019.576293912577
2014,HURTO,46,LARRAÑAGA,908,4817.231683378428
2014,HURTO,28,LAS ACACIAS,611,3102.310231023102
2014,HURTO,19,LAS CANTERAS,476,2179.2876110246316
2014,HURTO,60,"LEZICA, MELILLA",712,4129.930394431554
2014,HURTO,11,MALVIN,1217,4108.710330857529
2014,HURTO,12,MALVIN NORTE,371,2137.343011867727
2014,HURTO,62,MANGA,392,2012.7336208667075
2014,HURTO,32,"MANGA, TOLEDO CHICO",441,1619.0616051105073
2014,HURTO,17,"MAROÑAS, PARQUE GUARANI",491,2363.303812090874
2014,HURTO,25,"MERCADO MODELO, BOLIVAR",791,5052.053394647761
2014,HURTO,55,NUEVO PARIS,710,2370.934348493956
2014,HURTO,5,PALERMO,395,3075.605388149186
2014,HURTO,6,PARQUE RODO,629,4822.140447715425
2014,HURTO,57,PASO DE LA ARENA,701,2639.3072289156626
2014,HURTO,33,PASO DE LAS DURANAS,591,4847.44094488189
2014,HURTO,34,"PEÑAROL, LAVALLEJA",885,2737.2262773722628
2014,HURTO,31,PIEDRAS BLANCAS,538,2553.635845832542
2014,HURTO,8,POCITOS,2213,3144.4932293220795
2014,HURTO,10,"PQUE. BATLLE, V. DOLORES",1904,6343.2835820895525
2014,HURTO,39,"PRADO, NUEVA SAVONA",1221,6268.932587154079
2014,HURTO,20,"PTA. RIELES, BELLA ITALIA",644,2679.9833541406574
2014,HURTO,7,PUNTA CARRETAS,1216,4843.270800971841
2014,HURTO,13,PUNTA GORDA,749,5409.504550050557
2014,HURTO,42,REDUCTO,444,3299.3980827821947
2014,HURTO,52,SAYAGO,640,4568.491683917482
2014,HURTO,999,SIN CLASIFICAR,154,
2014,HURTO,50,TRES CRUCES,1511,8901.849888064098
2014,HURTO,56,"TRES OMBUES, VICTORIA",533,2957.0041608876563
2014,HURTO,23,UNION,2646,6930.874610367499
2014,HURTO,24,VILLA ESPAÑOLA,476,2248.040049116841
2014,HURTO,61,"VILLA GARCIA, MANGA RURAL",549,1729.7331358895995
2014,HURTO,48,"VILLA MUÑOZ, RETIRO",397,2976.9046190761846
2014,LESIONES,41,AGUADA,89,459.04683309263464
2014,LESIONES,29,AIRES PUROS,27,180.8924025190942
2014,LESIONES,43,ATAHUALPA,13,162.31739293295044
2014,LESIONES,3,BARRIO SUR,24,168.8951442646024
2014,LESIONES,16,BAÑADOS DE CARRASCO,39,275.03526093088857
2014,LESIONES,54,BELVEDERE,72,351.39092240117134
2014,LESIONES,51,BRAZO ORIENTAL,32,195.21717911176185
2014,LESIONES,9,BUCEO,67,181.1398291337731
2014,LESIONES,40,"CAPURRO, BELLA VISTA",36,216.3981726376533
2014,LESIONES,14,CARRASCO,12,79.66011683483802
2014,LESIONES,15,CARRASCO NORTE,17,128.21479749604043
2014,LESIONES,36,"CASABO, PAJAS BLANCAS",103,345.02395069172275
2014,LESIONES,30,CASAVALLE,166,546.0526315789474
2014,LESIONES,26,"CASTRO, P. CASTELLANOS",31,229.83392645314353
2014,LESIONES,2,CENTRO,142,597.5425012624137
2014,LESIONES,27,CERRITO,33,206.15980508527522
2014,LESIONES,35,CERRO,142,521.6560743543587
2014,LESIONES,1,CIUDAD VIEJA,96,693.2409012131716
2014,LESIONES,59,COLON CENTRO Y NOROESTE,110,402.2084902555853
2014,LESIONES,58,"COLON SURESTE, ABAYUBA",29,198.3855520591052
2014,LESIONES,53,CONCILIACION,61,307.0109215360612
2014,LESIONES,4,CORDON,136,302.3297172327939
2014,LESIONES,18,FLOR DE MAROÑAS,71,413.1990921259384
2014,LESIONES,22,ITUZAINGO,49,384.1630733045864
2014,LESIONES,44,JACINTO VERA,22,263.3153800119689
2014,LESIONES,21,JARDINES DEL HIPODROMO,84,431.8988122782663
2014,LESIONES,47,LA BLANQUEADA,25,256.1212990472288
2014,LESIONES,49,LA COMERCIAL,23,203.28796181721762
2014,LESIONES,45,LA FIGURITA,22,216.23746805582857
2014,LESIONES,37,"LA PALOMA, TOMKINSON",146,375.4081921267131
2014,LESIONES,38,LA TEJA,54,289.6218825422365
2014,LESIONES,46,LARRAÑAGA,40,212.2128494880365
2014,LESIONES,28,LAS ACACIAS,68,345.2652957603453
2014,LESIONES,19,LAS CANTERAS,50,228.9167658639319
2014,LESIONES,60,"LEZICA, MELILLA",47,272.62180974477957
2014,LESIONES,11,MALVIN,32,108.03511141120863
2014,LESIONES,12,MALVIN NORTE,42,241.96335983408227
2014,LESIONES,62,MANGA,63,323.4750462107209
2014,LESIONES,32,"MANGA, TOLEDO CHICO",106,389.1621998678317
2014,LESIONES,17,"MAROÑAS, PARQUE GUARANI",59,283.98151713515597
2014,LESIONES,25,"MERCADO MODELO, BOLIVAR",49,312.9590598454365
2014,LESIONES,55,NUEVO PARIS,101,337.27375943364723
2014,LESIONES,5,PALERMO,20,155.72685509616133
2014,LESIONES,6,PARQUE RODO,22,168.65992026985586
2014,LESIONES,57,PASO DE LA ARENA,91,342.62048192771084
2014,LESIONES,33,PASO DE LAS DURANAS,33,270.6692913385827
2014,LESIONES,34,"PEÑAROL, LAVALLEJA",100,309.29110478782627
2014,LESIONES,31,PIEDRAS BLANCAS,102,484.1465730017087
2014,LESIONES,8,POCITOS,59,83.83420719837447
2014,LESIONES,10,"PQUE. BATLLE, V. DOLORES",56,186.56716417910448
2014,LESIONES,39,"PRADO, NUEVA SAVONA",64,328.5926990809673
2014,LESIONES,20,"PTA. RIELES, BELLA ITALIA",99,411.98501872659176
2014,LESIONES,7,PUNTA CARRETAS,57,227.028318795555
2014,LESIONES,13,PUNTA GORDA,14,101.11223458038423
2014,LESIONES,42,REDUCTO,23,170.91476554952814
2014,LESIONES,52,SAYAGO,27,192.73324291526876
2014,LESIONES,999,SIN CLASIFICAR,2,
2014,LESIONES,50,TRES CRUCES,68,400.6127017791917
2014,LESIONES,56,"TRES OMBUES, VICTORIA",88,488.2108183079057
2014,LESIONES,23,UNION,150,392.90672394373576
2014,LESIONES,24,VILLA ESPAÑOLA,55,259.7525266836687
2014,LESIONES,61,"VILLA GARCIA, MANGA RURAL",137,431.64560950250484
2014,LESIONES,48,"VILLA MUÑOZ, RETIRO",23,172.46550689862028
2014,RAPIÑA,41,AGUADA,152,783.9900969671963
2014,RAPIÑA,29,AIRES PUROS,141,944.6603242663808
2014,RAPIÑA,43,ATAHUALPA,73,911.4745910850294
2014,RAPIÑA,3,BARRIO SUR,70,492.61083743842363
2014,RAPIÑA,16,BAÑADOS DE CARRASCO,129,909.7320169252469
2014,RAPIÑA,54,BELVEDERE,278,1356.759394826745
2014,RAPIÑA,51,BRAZO ORIENTAL,267,1628.8433382137628
2014,RAPIÑA,9,BUCEO,472,1276.089542554342
